"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO2_tempmean_bdmean_NA","BO_sstmean_mean","BO2_tempmean_bdmean_mean","BO_sstmean_min","BO2_tempmean_bdmean_min","BO_sstmean_max","BO2_tempmean_bdmean_max","BO_sstmean_median","BO2_tempmean_bdmean_median","BO_sstmean_sd","BO2_tempmean_bdmean_sd","BO_sstmean_mad","BO2_tempmean_bdmean_mad","BO_sstmean_q5","BO2_tempmean_bdmean_q5","BO_sstmean_q95","BO2_tempmean_bdmean_q95"
"Modiolus modiolus",140467,7931,666,666,10.400958979581,10.2625231205863,2.15700006484985,-0.137530997395515,28.746000289917,28.2033061981201,10.33899974823,10.3212947845459,1.62637827353746,1.68339101924013,1.30765315475464,0.771323125076294,8.34000015258789,7.30545902252197,12.3170003890991,12.0837306976318
"Mytilus edulis",140480,92401,7333,7333,10.0060029163452,9.50623785546908,-0.65499997138977,-1.20244705677032,29.117000579834,28.8414440155029,9.92500019073486,9.86007404327393,1.69591229434172,2.17296883659509,1.37733525295258,1.83297583637238,7.59999990463257,5.72969388961792,12.576000213623,12.3862457275391
"Myxicola infundibulum",130932,2555,198,198,11.9550848040804,11.8665034462701,0.105999998748302,-0.26850301027298,20.5550003051758,19.8850002288818,12.1199998855591,12.0070657730103,1.73200480909048,1.8534407584319,1.12529313983917,1.30303388614655,9.22500038146973,9.58077239990234,14.8690004348755,15.5877637863159
"Myxilla (Myxilla) fimbriata",169461,284,2,2,11.0463404205251,10.3548697535451,0.864000022411346,0.646336019039154,15.2690000534058,18.7582263946533,10.8479995727539,10.217658996582,1.12082988176792,1.3510735295989,0.809498898696899,0.97449812707901,9.72125039100647,9.17666354179382,12.5669003486633,12.0182180404663
"Testudinalia testudinalis",234208,2774,134,134,9.15432801228581,9.16202751326967,-0.328999996185303,-1.20244705677032,17.4629993438721,18.7518482208252,9.80200004577637,9.98109531402588,2.22361828865915,2.34967996119793,1.67756226196289,1.55363945903778,4.86499977111816,4.07478210926056,12.1280002593994,11.9792356491089
"Nucella lapillus",140403,32789,3804,3805,10.239949339383,9.90859858920166,-0.65499997138977,-0.921032011508942,27.7849998474121,19.6834697723389,10.3039999008179,10.038083076477,1.71506090855187,1.85290258365304,1.27651869049072,1.55966840343475,7.15399980545044,6.60364580154419,12.6599998474121,12.4840593338013
"Onchidoris bilamellata",150457,861,132,132,9.99300138801541,9.77643053734417,-0.481000006198883,-0.608901023864746,13.2340002059937,13.0968418121338,10.4989995956421,10.4720344543457,2.19762587241745,2.52012856312761,1.26762373523712,1.01743244018555,4.92600011825562,3.24311127662659,12.5609998703003,12.3334674835205
"Onchidoris muricata",140640,818,43,43,11.1287793522496,10.8079377202065,4.21600008010864,2.81628489494324,21.2709999084473,22.7652397155762,10.914999961853,10.6837787628174,1.18365927044796,1.19293949757494,1.08081553573608,0.960853115844727,9.43099975585938,9.44875268936157,12.6998999595642,12.2332572937012
"Ostrea edulis",140658,1216,113,113,12.512571146352,12.0854528162118,3.5,2.1012818813324,22.8540000915527,22.2685775756836,12.3400001525879,12.1068468093872,2.45396195282143,2.00878485750962,0.799120743942261,0.363950858688354,10.2229995727539,8.78207206726074,18.5803007125854,15.7044943809509
"Palio dubia",182807,59,14,14,11.0202444924249,10.7344325966305,5.36800003051758,2.00642704963684,19.9820003509521,13.601939201355,11.4870004653931,10.939772605896,2.03887075070538,1.77169833977191,0.840634776878357,0.785230418014526,7.33479995727539,8.55901012420654,12.2386003494263,12.4199186325073
"Petalonia fascia",145863,917,63,63,12.6758454063737,12.4431427404529,2.94700002670288,1.11717104911804,28.2940006256104,27.0118045806885,10.9350004196167,11.0074872970581,5.02774115510996,4.81208095075804,1.53152578868866,1.77689138317108,5.625,6.65569305419922,23.7919998168945,23.6513652801514
"Pholis gunnellus",126996,9849,806,806,10.2944450521053,10.0129060694577,0.675999999046326,-0.773491024971008,26.5909996032715,26.6301765441895,10.4840002059937,10.4774627685547,1.64794940233865,2.03687661386218,1.33433943443298,1.27654838275909,7.67399978637695,6.28480386734009,12.460000038147,12.3020181655884
"Phycodrys rubens",144773,12954,419,421,10.2391864077074,10.02424611002,-0.0390000008046627,-0.305370002985001,13.0530004501343,13.1347169876099,10.1070003509521,9.88908386230469,0.985571614228915,1.00243949737528,0.333584151649475,0.25221743888855,9.20699977874756,8.97192096710205,11.9790000915527,11.5247020721436
"Polysiphonia stricta",144672,2625,202,202,10.691472138839,10.4913352652615,2.94700002670288,2.90426802635193,21.2600002288818,21.021656036377,10.6149997711182,10.2925720214844,1.51225527007078,1.53324000352692,0.937003154754639,0.780527728271484,8.66600036621094,8.53911380767822,13.0229997634888,12.9702350616455
"Porania (Porania) pulvillus",125166,6418,146,146,10.8293681642497,10.0472821842449,1.19900000095367,-0.482652992010117,28.3409996032715,26.1582431793213,10.8030004501343,10.1174354553223,1.55470867712982,1.34397551030551,0.84804653263092,0.547569260215759,8.96874966621399,8.67069816589355,13.0253502845764,11.2436647415161
"Pteraster militaris",124147,810,2,5,5.15782672878802,4.62948987025837,-1.26900005340576,-1.57054901123047,27.7070007324219,24.7123947143555,5.96000003814697,3.4661500453949,4.86840612783988,4.06640453260359,5.85182206285,4.25596497015953,-0.350950001180172,-0.570921218395233,10.3590002059937,10.9905982971191
"Ptilota serrata",144687,279,0,0,6.46328668867815,5.84102988755831,4.3439998626709,3.07598209381104,9.72700023651123,10.0135822296143,6.78499984741211,6.28476476669312,1.36827123557989,1.49517196017886,1.86807563238144,1.53986295347214,4.9229998588562,3.21350407600403,8.54399967193604,8.08157157897949
